,app_name,total_minutes,total_devices,Avg_time_spent_per_device,Rank(minutes based)
2,Facebook (Mobile App),4163529.0816,545,7639.502902018349,1.0
3,Facebook Messenger (Mobile App),3475676.5848,610,5697.830466885245,2.0
20,YouTube (Mobile App),1631514.0366,804,2029.2463141791045,3.0
7,Instagram (Mobile App),949199.5422,590,1608.8127833898307,4.0
5,Google Search (Mobile App),686227.3614,891,770.1766121212122,5.0
15,Snapchat (Mobile App),533163.708,494,1079.2787611336032,6.0
10,Netflix (Mobile App),442761.1524,374,1183.8533486631018,7.0
12,Pinterest (Mobile App),204737.7276,405,505.52525333333335,8.0
4,Google Play (Mobile App),166880.3094,917,181.98507022900762,9.0
18,Yahoo Mail (Mobile App),137795.55299999999,234,588.8698846153845,10.0
8,Kindle (Mobile App),137411.3916,207,663.8231478260869,11.0
0,Amazon Mobile (Mobile App),132216.3108,797,165.89248531994983,12.0
16,Tumblr (Mobile App),98796.2346,71,1391.496261971831,13.0
11,Outlook (Mobile App),51937.3134,122,425.7156836065574,14.0
1,Amazon Music with Prime Music (Mobile App),35375.470199999996,169,209.32230887573962,15.0
17,Walmart (Mobile App),34365.7188,446,77.05318116591928,16.0
6,GroupMe (Mobile App),16450.8624,78,210.90849230769234,17.0
19,Yahoo Newsroom (Mobile App),7078.8816,44,160.8836727272727,18.0
9,Microsoft Word (Mobile App),6168.582,184,33.52490217391305,19.0
13,Sam's Club (Mobile App),1567.5849,51,30.736958823529413,20.0
14,Sam's Club Scan & Go (Mobile App),1156.1508000000001,36,32.115300000000005,21.0
